Name,Latitude,Longitude
Kathleen,22.6230333978,88.4499276057
Kathleen,22.5860386224,88.3267555386
Kathleen,22.5865011069,88.4038794413
Kathleen,22.5066094555,88.3672823757
Kathleen,22.5067770247,88.3351713046
Kathleen,22.4569780490,88.3054846153
Kathleen,22.5342903108,88.3459484205
Kathleen,22.4910568480,88.3178938553
Kathleen,22.4560556195,88.3857969940
Kathleen,22.5920492514,88.3170107380
Kathleen,22.5606766819,88.3517118171
Kathleen,22.5393748188,88.3630793542
Kathleen,22.5729116509,88.3577186242
Kathleen,22.6411264877,88.3779615909
Kathleen,22.5779337483,88.3476817980
Kathleen,22.5928460262,88.3691327646
Kathleen,22.5681079497,88.3918715268
Kathleen,22.5159905408,88.3526116982
Kathleen,22.4564559491,88.3854838461
Kathleen,22.6301914497,88.4478120133
Kathleen,22.5095826173,88.3695756644
Kathleen,22.5286367152,88.3827154711
Kathleen,22.6349719418,88.3718820289
Kathleen,22.6203149115,88.3960433677
Kathleen,22.6344833168,88.4137063846
Kathleen,22.5241451996,88.3524152264
Kathleen,22.4368502162,88.3994397148
Kathleen,22.7511270000,88.3406410000
Kathleen,22.5919854845,88.3924213797
Kathleen,22.4536808852,88.3881271631
Kathleen,22.5695661675,88.3450210467
Kathleen,22.5859971411,88.3626270667
Kathleen,22.5232058743,88.3458230272
Kathleen,22.6157635551,88.4255630896
Kathleen,22.5918146137,88.4527603537
Kathleen,22.6300874703,88.4211679548
Kathleen,22.5884024155,88.4084284678
Kathleen,22.5617603431,88.3624681458
Kathleen,22.5305567835,88.3864105493
Kathleen,22.5389093892,88.3198257163
Kathleen,22.5913846498,88.3600052074
Kathleen,22.6060960000,88.3439010000
Mio Amore,22.5161094728,88.3666362986
Mio Amore,22.6205609516,88.3485032246
Mio Amore,22.5692745252,88.4307380766
Mio Amore,22.5437305191,88.3661980927
Mio Amore,22.5721011387,88.3682895452
Mio Amore,22.7232638129,88.4785052016
Mio Amore,22.6606138059,88.3868313208
Mio Amore,22.6365006245,88.4144563973
Mio Amore,22.6026793461,88.4255101159
Mio Amore,22.5695835050,88.3176886663
Mio Amore,22.7611976394,88.3679344878
Mio Amore,22.5083495636,88.3673889935
Mio Amore,22.5696389232,88.3608742431
Mio Amore,22.5283967048,88.3851351589
Mio Amore,22.6654560000,88.3418350000
Mio Amore,22.4770459552,88.3103648946
Mio Amore,22.5919727930,88.3174066991
Mio Amore,22.5404778465,88.3244709671
Mio Amore,22.6635019673,88.3766097575
Mio Amore,22.4730493985,88.3635889739
Mio Amore,22.5561549362,88.3725619689
Mio Amore,22.7007740557,88.3780343458
Mio Amore,22.6925048931,88.4651484713
Mio Amore,22.4959985968,88.3699843660
Mio Amore,22.5506586050,88.3819768578
Mio Amore,22.5021906348,88.3578446880
Mio Amore,22.5195358479,88.3759750798
Mio Amore,22.4934709018,88.3892459795
Mio Amore,22.5818124208,88.3314470574
Mio Amore,22.5822582027,88.4536032379
Mio Amore,22.5919455527,88.3924173564
Mio Amore,22.5603280508,88.3517433330
Mio Amore,22.4842376079,88.3753933758
Mio Amore,22.4809218855,88.3462662622
Mio Amore,22.5714711154,88.4100186825
Mio Amore,22.4873930933,88.3935804293
Mio Amore,22.6161234972,88.4119274095
Mio Amore,22.5919727930,88.3174066991
Mio Amore,22.5305351054,88.3455876634
Mio Amore,22.6169442730,88.4338179231
Mio Amore,22.6218276642,88.4321743995
Mio Amore,22.5235502634,88.3465240896
Mio Amore,22.6008364259,88.3704644814
Mio Amore,22.4695577387,88.3777493611
Mio Amore,22.5062780333,88.3357211575
Mio Amore,22.6307450768,88.3783552051
Mio Amore,22.6381666835,88.3778043464
Mio Amore,22.6019092474,88.4055890143
Mio Amore,22.6091692990,88.4098775312
Mio Amore,22.5675463305,88.3525241911
Mio Amore,22.4761893386,88.3586610854
Mio Amore,22.6187260082,88.3795682341
Mio Amore,22.5576841847,88.3725240827
Mio Amore,22.5617098756,88.4074102342
Mio Amore,22.4845604088,88.3752800524
Mio Amore,22.5189387238,88.3609537035
Mio Amore,22.5861986657,88.4234857187
Mio Amore,22.6344900000,88.4349269000
Mio Amore,22.4966460014,88.3195434138
Mio Amore,22.6428829000,88.4316517000
Mio Amore,22.5395256263,88.3545160666
Mio Amore,22.5719138348,88.3892500028
Mio Amore,22.4640464997,88.3802672848
Mio Amore,22.6030941080,88.3727926388
Mio Amore,22.5960200788,88.3645958081
Mio Amore,22.5724262110,88.3275796473
Mio Amore,22.5985462058,88.4114033729
Mio Amore,22.7611899102,88.3679489046
Mio Amore,22.5032905521,88.3962368220
Mio Amore,22.5864583875,88.3595022932
Mio Amore,22.8129560000,88.2294840000
Mio Amore,22.6636501637,88.4238347411
Mio Amore,22.6202985089,88.3957650885
Mio Amore,22.5139627961,88.3959796652
Mio Amore,22.4472332023,88.3920629695
Mio Amore,22.5433911349,88.3489293605
Mio Amore,22.4780460058,88.3762419596
Mio Amore,22.7243523772,88.3781268821
Mio Amore,22.6520250729,88.3778506145
Mio Amore,22.5886410833,88.4093306959
Mio Amore,22.7115321281,88.4754152969
Mio Amore,22.5857389663,88.3672481775
Mio Amore,22.5130450824,88.4053053707
Mio Amore,22.6107146723,88.4270517156
Mio Amore,22.6551442322,88.3591864631
Mio Amore,22.5125770863,88.3460748196
Mio Amore,22.5951837010,88.3710790426
Mio Amore,22.4929938561,88.3455658704
Mio Amore,22.4930524027,88.3455893397
Mio Amore,22.5051632721,88.3183122799
Mio Amore,22.5854346662,88.3046739176
Mio Amore,22.4750362283,88.4009293467
Mio Amore,22.5206477059,88.3431183547
Mio Amore,22.5387982185,88.3442083374
Mio Amore,22.4472122000,88.3920921000
Mio Amore,22.5629582432,88.2960811257
Mio Amore,22.5696138457,88.3450471982
Mio Amore,22.5282898613,88.3527689427
Mio Amore,22.4680405277,88.4040269628
Mio Amore,22.4978853547,88.3754849061
Mio Amore,22.6104642816,88.4004924819
Mio Amore,22.5273034908,88.3654688671
Mio Amore,22.4711372067,88.3882803842
Mio Amore,22.4869736465,88.3133941144
Mio Amore,22.6108545691,88.4005082399
Mio Amore,22.5579139265,88.3072404563
Mio Amore,22.5631582534,88.2961062714
Mio Amore,22.5845099981,88.3771344647
Mio Amore,22.4851003705,88.3078027144
Mio Amore,22.5634316416,88.3932052553
Mio Amore,22.4850238528,88.3075992018
Mio Amore,22.6351588505,88.3718813583
Mio Amore,22.4960531152,88.3194367960
Mio Amore,22.4853011131,88.3604682237
Mio Amore,22.5942349541,88.4259355813
Mio Amore,22.5169342511,88.3468087390
Mio Amore,22.5965540330,88.3628040925
Mio Amore,22.5818124208,88.3741538599
Mio Amore,22.3632226672,88.4304996952
Mio Amore,22.4993384288,88.3171129972
Mio Amore,22.5388768741,88.3217927814
Mio Amore,22.4815656431,88.3107692376
Mio Amore,22.5273449897,88.3260373771
Mio Amore,22.4628006468,88.3072290570
Mio Amore,22.4523934177,88.3020808920
Mio Amore,22.5209855974,88.3694646880
Mio Amore,22.4647442468,88.3792215586
Mio Amore,22.6239435711,88.4402498603
Mio Amore,22.7667065683,88.3700970188
Mio Amore,22.6092144874,88.4317593277
Mio Amore,22.5900365542,88.3407781273
Mio Amore,22.6225001652,88.4116410837
Mio Amore,22.5197740154,88.3526194096
Mio Amore,22.6187343644,88.3794629574
Flurys,22.5528579688,88.3525238559
Flurys,22.5129729163,88.3240703121
Flurys,22.6060763336,88.4107127041
Flurys,22.5015042274,88.3617687598
Flurys,22.5321748848,88.3318812400
Flurys,22.6514870000,88.4464160000
Flurys,22.5194101052,88.3613158017
Flurys,22.5958956439,88.4156576917
Flurys,22.5045632982,88.4005142748
Flurys,22.5851622504,88.4258145466
Flurys,22.5148510801,88.3933091909
Flurys,22.4750510992,88.4008978307
Flurys,22.6229749063,88.4503044561
Flurys,22.4831942312,88.3909763396
Flurys,22.4951225822,88.3987168595
Flurys,22.5779291046,88.4006188810
Flurys,22.5797382780,88.4596066922
The Chaiwala,22.4915955453,88.3473317698
The Chaiwala,22.5164556924,88.3607567546
